experiment_id,trial_id,case_id,speech_id,order,round,player_id,mbti,initial_role,final_role,chars,labels,mentions,stance_target,stance_direction,stance_strength,judge_criteria_version
e-20260830-010837,e-20260830-010837-t001,e-20260830-010837-t001-c00,e-20260830-010837-t001-c00-s012,12,4,p3,ESFJ,villager,villager,117,hypothesis,p1,,,,v1
e-20260830-010837,e-20260830-010837-t001,e-20260830-010837-t001-c00,e-20260830-010837-t001-c00-s013,13,4,p1,ISTJ,thief,thief,135,claim|hypothesis,p3,,,,v1
e-20260830-010837,e-20260830-010837-t001,e-20260830-010837-t001-c00,e-20260830-010837-t001-c00-s014,14,4,p8,ESTP,werewolf,werewolf,89,claim|intent,p5,,,,v1
e-20260830-010837,e-20260830-010837-t001,e-20260830-010837-t001-c00,e-20260830-010837-t001-c00-s015,15,5,p8,ESTP,werewolf,werewolf,94,question|agree,p5,,,,v1
e-20260830-010837,e-20260830-010837-t001,e-20260830-010837-t001-c01,e-20260830-010837-t001-c01-s001,1,1,p1,ISTJ,thief,thief,57,question,,,,,v1
e-20260830-010837,e-20260830-010837-t001,e-20260830-010837-t001-c01,e-20260830-010837-t001-c01-s002,2,2,p1,ISTJ,thief,thief,53,question,,,,,v1
e-20260830-010837,e-20260830-010837-t001,e-20260830-010837-t001-c02,e-20260830-010837-t001-c02-s001,1,1,p1,ISFJ,thief,thief,64,claim,,,,,v1
e-20260830-010837,e-20260830-010837-t001,e-20260830-010837-t001-c02,e-20260830-010837-t001-c02-s002,2,1,p2,ISFJ,villager,villager,63,other,,,,,v1
e-20260830-010837,e-20260830-010837-t001,e-20260830-010837-t001-c02,e-20260830-010837-t001-c02-s003,3,1,p8,ISFJ,werewolf,werewolf,82,claim,,,,,v1
e-20260830-010837,e-20260830-010837-t001,e-20260830-010837-t001-c02,e-20260830-010837-t001-c02-s004,4,1,p7,ISFJ,werewolf,werewolf,124,claim|suspect|question,p8,p8,suspect,1,v1
e-20260830-010837,e-20260830-010837-t001,e-20260830-010837-t001-c02,e-20260830-010837-t001-c02-s005,5,1,p4,ISFJ,villager,villager,92,suspect,p8,p8,suspect,2,v1
e-20260830-010837,e-20260830-010837-t001,e-20260830-010837-t001-c02,e-20260830-010837-t001-c02-s006,6,1,p5,ISFJ,seer,seer,84,claim|question|suspect,p8,p8,suspect,1,v1
e-20260830-010837,e-20260830-010837-t001,e-20260830-010837-t001-c02,e-20260830-010837-t001-c02-s007,7,1,p3,ISFJ,villager,villager,91,question|suspect,p8,p8,suspect,1,v1
e-20260830-010837,e-20260830-010837-t001,e-20260830-010837-t001-c02,e-20260830-010837-t001-c02-s008,8,2,p7,ISFJ,werewolf,werewolf,85,claim|suspect,p8,p8,suspect,3,v1
e-20260830-010837,e-20260830-010837-t001,e-20260830-010837-t001-c02,e-20260830-010837-t001-c02-s009,9,2,p3,ISFJ,villager,villager,125,rebut|defend|hypothesis,p7|p8,p8,defend,2,v1
e-20260830-010837,e-20260830-010837-t001,e-20260830-010837-t001-c02,e-20260830-010837-t001-c02-s010,10,2,p8,ISFJ,werewolf,werewolf,150,agree|question|claim,p7|p3|p8|p5,,,,v1
e-20260830-010837,e-20260830-010837-t001,e-20260830-010837-t001-c02,e-20260830-010837-t001-c02-s011,11,2,p4,ISFJ,villager,villager,127,agree|suspect|question,p7|p8,p8,suspect,2,v1
e-20260830-010837,e-20260830-010837-t001,e-20260830-010837-t001-c02,e-20260830-010837-t001-c02-s012,12,2,p1,ISFJ,thief,thief,47,claim,p4,,,,v1
e-20260830-010837,e-20260830-010837-t001,e-20260830-010837-t001-c02,e-20260830-010837-t001-c02-s013,13,2,p5,ISFJ,seer,seer,100,agree|suspect|question,p7|p8,p8,suspect,2,v1
e-20260830-010837,e-20260830-010837-t001,e-20260830-010837-t001-c03,e-20260830-010837-t001-c03-s001,1,1,p1,INFJ,thief,thief,56,other|intent,,,,,v1
e-20260830-010837,e-20260830-010837-t001,e-20260830-010837-t001-c03,e-20260830-010837-t001-c03-s002,2,1,p7,INFJ,werewolf,werewolf,73,claim|intent,,,,,v1
e-20260830-010837,e-20260830-010837-t001,e-20260830-010837-t001-c03,e-20260830-010837-t001-c03-s003,3,2,p7,INFJ,werewolf,werewolf,73,claim|intent,p8,,,,v1
e-20260830-010837,e-20260830-010837-t001,e-20260830-010837-t001-c03,e-20260830-010837-t001-c03-s004,4,2,p8,INFJ,werewolf,werewolf,80,claim|agree,p7,,,,v1
e-20260830-010837,e-20260830-010837-t001,e-20260830-010837-t001-c03,e-20260830-010837-t001-c03-s005,5,2,p2,INFJ,villager,villager,89,question|intent,,,,,v1
e-20260830-010837,e-20260830-010837-t001,e-20260830-010837-t001-c03,e-20260830-010837-t001-c03-s006,6,2,p1,INFJ,thief,thief,76,claim|defend|intent,p2,p2,defend,2,v1
e-20260830-010837,e-20260830-010837-t001,e-20260830-010837-t001-c03,e-20260830-010837-t001-c03-s007,7,2,p5,INFJ,seer,seer,98,claim|defend|question,p2,p2,defend,2,v1
e-20260830-010837,e-20260830-010837-t001,e-20260830-010837-t001-c03,e-20260830-010837-t001-c03-s008,8,3,p8,INFJ,werewolf,werewolf,99,claim|intent,p7|p1|p2,,,,v1
e-20260830-010837,e-20260830-010837-t001,e-20260830-010837-t001-c03,e-20260830-010837-t001-c03-s009,9,3,p5,INFJ,seer,seer,86,question,p2,,,,v1
e-20260830-010837,e-20260830-010837-t001,e-20260830-010837-t001-c03,e-20260830-010837-t001-c03-s010,10,4,p2,INFJ,villager,villager,180,claim,p5,,,,v1
e-20260830-010837,e-20260830-010837-t001,e-20260830-010837-t001-c03,e-20260830-010837-t001-c03-s011,11,4,p7,INFJ,werewolf,werewolf,60,agree|question,p5|p2,,,,v1
e-20260830-010837,e-20260830-010837-t001,e-20260830-010837-t001-c03,e-20260830-010837-t001-c03-s012,12,5,p7,INFJ,werewolf,werewolf,87,agree|question,p2,,,,v1
e-20260830-010837,e-20260830-010837-t001,e-20260830-010837-t001-c03,e-20260830-010837-t001-c03-s013,13,5,p6,INFJ,villager,villager,102,agree|question,p2,,,,v1
e-20260830-010837,e-20260830-010837-t001,e-20260830-010837-t001-c03,e-20260830-010837-t001-c03-s014,14,5,p1,INFJ,thief,thief,108,question,p2,,,,v1
e-20260830-010837,e-20260830-010837-t001,e-20260830-010837-t001-c03,e-20260830-010837-t001-c03-s015,15,5,p2,INFJ,villager,villager,187,claim|hypothesis,p1,,,,v1
e-20260830-010837,e-20260830-010837-t001,e-20260830-010837-t001-c04,e-20260830-010837-t001-c04-s001,1,1,p1,INTJ,thief,thief,74,intent,,,,,v1
e-20260830-010837,e-20260830-010837-t001,e-20260830-010837-t001-c04,e-20260830-010837-t001-c04-s002,2,1,p7,INTJ,werewolf,werewolf,80,intent|suspect,p8,p8,suspect,1,v1
e-20260830-010837,e-20260830-010837-t001,e-20260830-010837-t001-c04,e-20260830-010837-t001-c04-s003,3,1,p5,INTJ,seer,seer,85,claim|defend|intent,p2,p2,defend,3,v1
e-20260830-010837,e-20260830-010837-t001,e-20260830-010837-t001-c04,e-20260830-010837-t001-c04-s004,4,2,p7,INTJ,werewolf,werewolf,84,claim|intent|defend,p8,p8,defend,2,v1
e-20260830-010837,e-20260830-010837-t001,e-20260830-010837-t001-c04,e-20260830-010837-t001-c04-s005,5,2,p8,INTJ,werewolf,werewolf,96,claim|intent|rebut|suspect,p7,p7,suspect,1,v1
e-20260830-010837,e-20260830-010837-t001,e-20260830-010837-t001-c04,e-20260830-010837-t001-c04-s006,6,2,p5,INTJ,seer,seer,101,claim|defend|suspect,p2|p8,p2,defend,3,v1
e-20260830-010837,e-20260830-010837-t001,e-20260830-010837-t001-c04,e-20260830-010837-t001-c04-s007,7,3,p8,INTJ,werewolf,werewolf,99,intent|suspect|hypothesis,p7,p7,suspect,1,v1
e-20260830-010837,e-20260830-010837-t001,e-20260830-010837-t001-c04,e-20260830-010837-t001-c04-s008,8,3,p1,INTJ,thief,thief,71,defend|intent,p5,p5,defend,2,v1
e-20260830-010837,e-20260830-010837-t001,e-20260830-010837-t001-c04,e-20260830-010837-t001-c04-s009,9,4,p1,INTJ,thief,thief,115,claim|intent,p5,p5,defend,1,v1
e-20260830-010837,e-20260830-010837-t001,e-20260830-010837-t001-c04,e-20260830-010837-t001-c04-s010,10,4,p7,INTJ,werewolf,werewolf,115,agree|intent,p5,p5,defend,1,v1
e-20260830-010837,e-20260830-010837-t001,e-20260830-010837-t001-c04,e-20260830-010837-t001-c04-s011,11,4,p5,INTJ,seer,seer,123,claim|rebut,p7,,,,v1
e-20260830-010837,e-20260830-010837-t001,e-20260830-010837-t001-c04,e-20260830-010837-t001-c04-s012,12,5,p7,INTJ,werewolf,werewolf,89,agree|intent,p5,,,,v1
e-20260830-010837,e-20260830-010837-t001,e-20260830-010837-t001-c04,e-20260830-010837-t001-c04-s013,13,5,p5,INTJ,seer,seer,181,rebut|intent,p7,,,,v1
e-20260830-010837,e-20260830-010837-t001,e-20260830-010837-t001-c04,e-20260830-010837-t001-c04-s014,14,6,p1,INTJ,thief,thief,154,claim|agree|intent,p5,,,,v1
e-20260830-010837,e-20260830-010837-t001,e-20260830-010837-t001-c05,e-20260830-010837-t001-c05-s001,1,1,p1,ISTP,thief,thief,38,claim|suspect|intent,p2,p2,suspect,2,v1
e-20260830-010837,e-20260830-010837-t001,e-20260830-010837-t001-c05,e-20260830-010837-t001-c05-s002,2,1,p7,ISTP,werewolf,werewolf,70,claim|intent,,,,,v1
e-20260830-010837,e-20260830-010837-t001,e-20260830-010837-t001-c05,e-20260830-010837-t001-c05-s003,3,1,p5,ISTP,seer,seer,57,claim|defend|intent|agree,p2,p2,defend,2,v1
e-20260830-010837,e-20260830-010837-t001,e-20260830-010837-t001-c05,e-20260830-010837-t001-c05-s004,4,2,p8,ISTP,werewolf,werewolf,58,question|suspect,p1|p5,p5,suspect,1,v1
e-20260830-010837,e-20260830-010837-t001,e-20260830-010837-t001-c05,e-20260830-010837-t001-c05-s005,5,2,p4,ISTP,villager,villager,55,claim|defend|intent|agree,p2,p2,defend,2,v1
e-20260830-010837,e-20260830-010837-t001,e-20260830-010837-t001-c05,e-20260830-010837-t001-c05-s006,6,2,p2,ISTP,villager,villager,110,claim|question|intent,,,,,v1
e-20260830-010837,e-20260830-010837-t001,e-20260830-010837-t001-c05,e-20260830-010837-t001-c05-s007,7,2,p1,ISTP,thief,thief,67,claim|defend|intent|agree,p2,p2,defend,2,v1
e-20260830-010837,e-20260830-010837-t001,e-20260830-010837-t001-c05,e-20260830-010837-t001-c05-s008,8,2,p5,ISTP,seer,seer,81,claim|defend|intent|agree,p2,p2,defend,2,v1
e-20260830-010837,e-20260830-010837-t001,e-20260830-010837-t001-c05,e-20260830-010837-t001-c05-s009,9,3,p2,ISTP,villager,villager,87,claim|intent,p2,,,,v1
e-20260830-010837,e-20260830-010837-t001,e-20260830-010837-t001-c05,e-20260830-010837-t001-c05-s010,10,3,p8,ISTP,werewolf,werewolf,96,question,p2,,,,v1
e-20260830-010837,e-20260830-010837-t001,e-20260830-010837-t001-c05,e-20260830-010837-t001-c05-s011,11,3,p7,ISTP,werewolf,werewolf,70,question,p2,,,,v1
e-20260830-010837,e-20260830-010837-t001,e-20260830-010837-t001-c05,e-20260830-010837-t001-c05-s012,12,4,p1,ISTP,thief,thief,56,intent|suspect,p2,p2,suspect,1,v1
e-20260830-010837,e-20260830-010837-t001,e-20260830-010837-t001-c05,e-20260830-010837-t001-c05-s013,13,4,p7,ISTP,werewolf,werewolf,108,question,p2,,,,v1
e-20260830-010837,e-20260830-010837-t001,e-20260830-010837-t001-c05,e-20260830-010837-t001-c05-s014,14,4,p5,ISTP,seer,seer,105,question,p2,,,,v1
e-20260830-010837,e-20260830-010837-t001,e-20260830-010837-t001-c05,e-20260830-010837-t001-c05-s015,15,5,p1,ISTP,thief,thief,75,intent|suspect,p2,p2,suspect,1,v1
e-20260830-010837,e-20260830-010837-t001,e-20260830-010837-t001-c05,e-20260830-010837-t001-c05-s016,16,5,p5,ISTP,seer,seer,75,intent|suspect,p2,p2,suspect,1,v1
e-20260830-010837,e-20260830-010837-t001,e-20260830-010837-t001-c05,e-20260830-010837-t001-c05-s017,17,6,p2,ISTP,villager,villager,119,claim|intent,p2,,,,v1
e-20260830-010837,e-20260830-010837-t001,e-20260830-010837-t001-c06,e-20260830-010837-t001-c06-s001,1,1,p1,ISFP,thief,thief,68,claim|defend|intent,p2,p2,defend,2,v1
e-20260830-010837,e-20260830-010837-t001,e-20260830-010837-t001-c06,e-20260830-010837-t001-c06-s002,2,1,p2,ISFP,villager,villager,67,intent,,,,,v1
e-20260830-010837,e-20260830-010837-t001,e-20260830-010837-t001-c06,e-20260830-010837-t001-c06-s003,3,1,p6,ISFP,villager,villager,64,intent,,,,,v1
e-20260830-010837,e-20260830-010837-t001,e-20260830-010837-t001-c06,e-20260830-010837-t001-c06-s004,4,1,p8,ISFP,werewolf,werewolf,62,claim|suspect|intent,p7,p7,suspect,3,v1
e-20260830-010837,e-20260830-010837-t001,e-20260830-010837-t001-c06,e-20260830-010837-t001-c06-s005,5,1,p7,ISFP,werewolf,werewolf,65,claim|suspect|intent,p8,p8,suspect,3,v1
e-20260830-010837,e-20260830-010837-t001,e-20260830-010837-t001-c06,e-20260830-010837-t001-c06-s006,6,1,p5,ISFP,seer,seer,69,claim|defend|intent,p2,p2,defend,2,v1
e-20260830-010837,e-20260830-010837-t001,e-20260830-010837-t001-c06,e-20260830-010837-t001-c06-s007,7,2,p7,ISFP,werewolf,werewolf,67,claim|suspect|intent,p8,p8,suspect,3,v1
e-20260830-010837,e-20260830-010837-t001,e-20260830-010837-t001-c06,e-20260830-010837-t001-c06-s008,8,2,p8,ISFP,werewolf,werewolf,92,claim|suspect|intent,p7,p7,suspect,3,v1
e-20260830-010837,e-20260830-010837-t001,e-20260830-010837-t001-c06,e-20260830-010837-t001-c06-s009,9,2,p1,ISFP,thief,thief,91,claim|defend|intent,p2,p2,defend,2,v1
e-20260830-010837,e-20260830-010837-t001,e-20260830-010837-t001-c06,e-20260830-010837-t001-c06-s010,10,2,p5,ISFP,seer,seer,108,claim|defend|intent,p2,p2,defend,2,v1
e-20260830-010837,e-20260830-010837-t001,e-20260830-010837-t001-c07,e-20260830-010837-t001-c07-s001,1,1,p1,INFP,thief,thief,73,claim|intent,,,,,v1
e-20260830-010837,e-20260830-010837-t001,e-20260830-010837-t001-c07,e-20260830-010837-t001-c07-s002,2,1,p2,INFP,villager,villager,72,intent,,,,,v1
e-20260830-010837,e-20260830-010837-t001,e-20260830-010837-t001-c07,e-20260830-010837-t001-c07-s003,3,1,p6,INFP,villager,villager,78,intent,,,,,v1
e-20260830-010837,e-20260830-010837-t001,e-20260830-010837-t001-c07,e-20260830-010837-t001-c07-s004,4,1,p8,INFP,werewolf,werewolf,66,claim|intent,p7,p7,defend,2,v1
e-20260830-010837,e-20260830-010837-t001,e-20260830-010837-t001-c07,e-20260830-010837-t001-c07-s005,5,1,p7,INFP,werewolf,werewolf,87,claim|intent,p8,p8,defend,2,v1
e-20260830-010837,e-20260830-010837-t001,e-20260830-010837-t001-c07,e-20260830-010837-t001-c07-s006,6,1,p4,INFP,villager,villager,73,intent,,,,,v1
e-20260830-010837,e-20260830-010837-t001,e-20260830-010837-t001-c07,e-20260830-010837-t001-c07-s007,7,1,p5,INFP,seer,seer,99,claim|intent,,,,,v1
e-20260830-010837,e-20260830-010837-t001,e-20260830-010837-t001-c07,e-20260830-010837-t001-c07-s008,8,1,p3,INFP,villager,villager,63,intent,,,,,v1
e-20260830-010837,e-20260830-010837-t001,e-20260830-010837-t001-c07,e-20260830-010837-t001-c07-s009,9,2,p7,INFP,werewolf,werewolf,95,claim|question|agree,p8,p8,defend,1,v1
e-20260830-010837,e-20260830-010837-t001,e-20260830-010837-t001-c07,e-20260830-010837-t001-c07-s010,10,2,p3,INFP,villager,villager,123,agree|question,p8,p8,defend,1,v1
e-20260830-010837,e-20260830-010837-t001,e-20260830-010837-t001-c07,e-20260830-010837-t001-c07-s011,11,2,p8,INFP,werewolf,werewolf,90,claim|intent,p7,p7,defend,1,v1
e-20260830-010837,e-20260830-010837-t001,e-20260830-010837-t001-c07,e-20260830-010837-t001-c07-s012,12,2,p4,INFP,villager,villager,112,agree|intent,p2|p8|p7,,,,v1
e-20260830-010837,e-20260830-010837-t001,e-20260830-010837-t001-c07,e-20260830-010837-t001-c07-s013,13,2,p2,INFP,villager,villager,113,agree|intent,p8|p7,,,,v1
e-20260830-010837,e-20260830-010837-t001,e-20260830-010837-t001-c07,e-20260830-010837-t001-c07-s014,14,2,p1,INFP,thief,thief,106,agree|intent,p8|p7,,,,v1
e-20260830-010837,e-20260830-010837-t001,e-20260830-010837-t001-c07,e-20260830-010837-t001-c07-s015,15,2,p5,INFP,seer,seer,111,agree|hypothesis|intent,p8|p7,p7,suspect,1,v1
e-20260830-010837,e-20260830-010837-t001,e-20260830-010837-t001-c08,e-20260830-010837-t001-c08-s001,1,1,p1,INTP,thief,thief,64,claim,,,,,v1
e-20260830-010837,e-20260830-010837-t001,e-20260830-010837-t001-c08,e-20260830-010837-t001-c08-s002,2,1,p2,INTP,villager,villager,72,other,,,,,v1
e-20260830-010837,e-20260830-010837-t001,e-20260830-010837-t001-c08,e-20260830-010837-t001-c08-s003,3,1,p8,INTP,werewolf,werewolf,61,claim,,,,,v1
e-20260830-010837,e-20260830-010837-t001,e-20260830-010837-t001-c08,e-20260830-010837-t001-c08-s004,4,1,p7,INTP,werewolf,werewolf,85,claim|intent,,,,,v1
e-20260830-010837,e-20260830-010837-t001,e-20260830-010837-t001-c08,e-20260830-010837-t001-c08-s005,5,1,p5,INTP,seer,seer,61,claim,,,,,v1
e-20260830-010837,e-20260830-010837-t001,e-20260830-010837-t001-c08,e-20260830-010837-t001-c08-s006,6,1,p3,INTP,villager,villager,64,suspect,p1,p1,suspect,1,v1
e-20260830-010837,e-20260830-010837-t001,e-20260830-010837-t001-c08,e-20260830-010837-t001-c08-s007,7,2,p7,INTP,werewolf,werewolf,81,claim|suspect|intent,p8|p1,p1,suspect,2,v1
e-20260830-010837,e-20260830-010837-t001,e-20260830-010837-t001-c08,e-20260830-010837-t001-c08-s008,8,2,p8,INTP,werewolf,werewolf,85,claim|suspect|intent,p7|p1,p1,suspect,2,v1
e-20260830-010837,e-20260830-010837-t001,e-20260830-010837-t001-c08,e-20260830-010837-t001-c08-s009,9,2,p1,INTP,thief,thief,80,claim|question,p2,,,,v1
e-20260830-010837,e-20260830-010837-t001,e-20260830-010837-t001-c08,e-20260830-010837-t001-c08-s010,10,2,p5,INTP,seer,seer,36,question,p2,,,,v1
e-20260830-010837,e-20260830-010837-t001,e-20260830-010837-t001-c09,e-20260830-010837-t001-c09-s001,1,1,p1,ESTP,thief,thief,68,question,p2,,,,v1
e-20260830-010837,e-20260830-010837-t001,e-20260830-010837-t001-c09,e-20260830-010837-t001-c09-s002,2,1,p2,ESTP,villager,villager,90,claim|intent,,,,,v1
e-20260830-010837,e-20260830-010837-t001,e-20260830-010837-t001-c09,e-20260830-010837-t001-c09-s003,3,1,p6,ESTP,villager,villager,79,claim|question,,,,,v1
e-20260830-010837,e-20260830-010837-t001,e-20260830-010837-t001-c09,e-20260830-010837-t001-c09-s004,4,1,p8,ESTP,werewolf,werewolf,64,claim|intent,,,,,v1
e-20260830-010837,e-20260830-010837-t001,e-20260830-010837-t001-c09,e-20260830-010837-t001-c09-s005,5,1,p7,ESTP,werewolf,werewolf,85,claim|intent|question,p8,,,,v1
e-20260830-010837,e-20260830-010837-t001,e-20260830-010837-t001-c09,e-20260830-010837-t001-c09-s006,6,1,p4,ESTP,villager,villager,85,claim|question,,,,,v1
e-20260830-010837,e-20260830-010837-t001,e-20260830-010837-t001-c09,e-20260830-010837-t001-c09-s007,7,1,p5,ESTP,seer,seer,120,agree|intent,p2,p2,defend,1,v1
e-20260830-010837,e-20260830-010837-t001,e-20260830-010837-t001-c09,e-20260830-010837-t001-c09-s008,8,1,p3,ESTP,villager,villager,100,claim,,,,,v1
e-20260830-010837,e-20260830-010837-t001,e-20260830-010837-t001-c09,e-20260830-010837-t001-c09-s009,9,2,p7,ESTP,werewolf,werewolf,66,intent|question,p8,,,,v1
e-20260830-010837,e-20260830-010837-t001,e-20260830-010837-t001-c09,e-20260830-010837-t001-c09-s010,10,2,p3,ESTP,villager,villager,47,question,p8,,,,v1
e-20260830-010837,e-20260830-010837-t001,e-20260830-010837-t001-c09,e-20260830-010837-t001-c09-s011,11,2,p8,ESTP,werewolf,werewolf,74,agree|question,p7,,,,v1
e-20260830-010837,e-20260830-010837-t001,e-20260830-010837-t001-c09,e-20260830-010837-t001-c09-s012,12,2,p4,ESTP,villager,villager,60,question,p8,,,,v1
e-20260830-010837,e-20260830-010837-t001,e-20260830-010837-t001-c09,e-20260830-010837-t001-c09-s013,13,2,p2,ESTP,villager,villager,60,question,p8,,,,v1
e-20260830-010837,e-20260830-010837-t001,e-20260830-010837-t001-c09,e-20260830-010837-t001-c09-s014,14,2,p1,ESTP,thief,thief,64,claim|defend|hypothesis,p8|p2,p2,defend,2,v1
e-20260830-010837,e-20260830-010837-t001,e-20260830-010837-t001-c09,e-20260830-010837-t001-c09-s015,15,2,p5,ESTP,seer,seer,105,agree|suspect|question|rebut,p1|p2|p8,p8,suspect,2,v1
e-20260830-010837,e-20260830-010837-t001,e-20260830-010837-t001-c10,e-20260830-010837-t001-c10-s001,1,1,p1,ESFP,thief,thief,66,question|intent,,,,,v1
e-20260830-010837,e-20260830-010837-t001,e-20260830-010837-t001-c10,e-20260830-010837-t001-c10-s002,2,1,p2,ESFP,villager,villager,81,claim|intent,,,,,v1
e-20260830-010837,e-20260830-010837-t001,e-20260830-010837-t001-c10,e-20260830-010837-t001-c10-s003,3,1,p6,ESFP,villager,villager,95,claim|intent,,,,,v1
e-20260830-010837,e-20260830-010837-t001,e-20260830-010837-t001-c10,e-20260830-010837-t001-c10-s004,4,1,p8,ESFP,werewolf,werewolf,104,claim|intent,p7,p7,defend,2,v1
e-20260830-010837,e-20260830-010837-t001,e-20260830-010837-t001-c10,e-20260830-010837-t001-c10-s005,5,1,p7,ESFP,werewolf,werewolf,75,claim|intent,p8,p8,defend,2,v1
e-20260830-010837,e-20260830-010837-t001,e-20260830-010837-t001-c10,e-20260830-010837-t001-c10-s006,6,1,p4,ESFP,villager,villager,74,question|intent,,,,,v1
e-20260830-010837,e-20260830-010837-t001,e-20260830-010837-t001-c10,e-20260830-010837-t001-c10-s007,7,1,p5,ESFP,seer,seer,73,claim|intent,,,,,v1
e-20260830-010837,e-20260830-010837-t001,e-20260830-010837-t001-c10,e-20260830-010837-t001-c10-s008,8,1,p3,ESFP,villager,villager,97,question,p1|p2|p4|p5|p6|p7|p8,,,,v1
e-20260830-010837,e-20260830-010837-t001,e-20260830-010837-t001-c10,e-20260830-010837-t001-c10-s009,9,2,p7,ESFP,werewolf,werewolf,127,question,p8|p5,,,,v1
e-20260830-010837,e-20260830-010837-t001,e-20260830-010837-t001-c10,e-20260830-010837-t001-c10-s010,10,2,p3,ESFP,villager,villager,84,question,,,,,v1
e-20260830-010837,e-20260830-010837-t001,e-20260830-010837-t001-c10,e-20260830-010837-t001-c10-s011,11,2,p8,ESFP,werewolf,werewolf,131,claim|question,p7,,,,v1
e-20260830-010837,e-20260830-010837-t001,e-20260830-010837-t001-c10,e-20260830-010837-t001-c10-s012,12,2,p4,ESFP,villager,villager,110,question|intent,p5|p8,,,,v1
e-20260830-010837,e-20260830-010837-t001,e-20260830-010837-t001-c10,e-20260830-010837-t001-c10-s013,13,2,p2,ESFP,villager,villager,125,question,p5|p8|p1|p3|p4|p6|p7,,,,v1
e-20260830-010837,e-20260830-010837-t001,e-20260830-010837-t001-c10,e-20260830-010837-t001-c10-s014,14,2,p1,ESFP,thief,thief,86,question|claim,p2|p5,p2,suspect,1,v1
e-20260830-010837,e-20260830-010837-t001,e-20260830-010837-t001-c10,e-20260830-010837-t001-c10-s015,15,2,p6,ESFP,villager,villager,100,agree|hypothesis|question,p1|p2,p2,suspect,1,v1
e-20260830-010837,e-20260830-010837-t001,e-20260830-010837-t001-c11,e-20260830-010837-t001-c11-s001,1,1,p1,ENFP,thief,thief,76,claim|intent,,,,,v1
e-20260830-010837,e-20260830-010837-t001,e-20260830-010837-t001-c11,e-20260830-010837-t001-c11-s002,2,1,p2,ENFP,villager,villager,91,intent,,,,,v1
e-20260830-010837,e-20260830-010837-t001,e-20260830-010837-t001-c11,e-20260830-010837-t001-c11-s003,3,1,p6,ENFP,villager,villager,110,claim|intent,,,,,v1
e-20260830-010837,e-20260830-010837-t001,e-20260830-010837-t001-c11,e-20260830-010837-t001-c11-s004,4,1,p8,ENFP,werewolf,werewolf,85,intent,,,,,v1
e-20260830-010837,e-20260830-010837-t001,e-20260830-010837-t001-c11,e-20260830-010837-t001-c11-s005,5,1,p7,ENFP,werewolf,werewolf,69,claim|suspect|intent,p8,p8,suspect,3,v1
e-20260830-010837,e-20260830-010837-t001,e-20260830-010837-t001-c11,e-20260830-010837-t001-c11-s006,6,1,p4,ENFP,villager,villager,87,intent,,,,,v1
e-20260830-010837,e-20260830-010837-t001,e-20260830-010837-t001-c11,e-20260830-010837-t001-c11-s007,7,1,p5,ENFP,seer,seer,87,intent,,,,,v1
e-20260830-010837,e-20260830-010837-t001,e-20260830-010837-t001-c11,e-20260830-010837-t001-c11-s008,8,1,p3,ENFP,villager,villager,82,intent,,,,,v1
